eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
200,-932.1944155,1624,0.18010597,0.22109374,-1.0783509,0.022828784,1891.0883,0.828075543,800,1638400,1053.473925,1638400
200,-892.6609465,1600,0.1316669,0.18964843,-1.0805638,0.016412962,3051.455,0.773528486,810,1658880,1066.139206,1658880
200,-889.9038279,1588,0.51958287,0.22753906,-1.0839722,0.021387443,2132.0498,0.852712512,820,1679360,1078.918574,1679360
200,-825.2637434,1614,0.14325586,0.30693358,-1.0307136,0.03176802,1796.9436,0.832767457,830,1699840,1091.592003,1699840
200,-890.0564914,1402,0.5492417,0.30507812,-1.022718,0.027210072,2316.3901,0.818833962,840,1720320,1104.898205,1720320
200,-881.4785436,1602,0.043557227,0.26083985,-1.0161749,0.023741884,2164.656,0.849749699,850,1740800,1118.154945,1740800
200,-772.7778104,1608,0.05066351,0.23085937,-0.98027813,0.018730566,885.14746,0.889161855,860,1761280,1130.812554,1761280
200,-900.6261434,1623,0.06314469,0.25307617,-0.9341739,0.019825,2711.0647,0.827537298,870,1781760,1143.619958,1781760
200,-963.5920294,1595,0.051891595,0.24384765,-0.88919574,0.021376863,1212.9606,0.886668086,880,1802240,1156.324717,1802240
200,-882.8926642,1601,0.03379649,0.20395508,-0.83623695,0.010605836,2932.8147,0.790930524,890,1822720,1169.102671,1822720
200,-927.2982028,1613,0.033661243,0.2199707,-0.8287922,0.017123405,2826.4001,0.792808488,900,1843200,1181.787574,1843200
200,-941.9112178,1539,0.16921425,0.18945312,-0.8203205,0.02624594,2994.2637,0.749001622,910,1863680,1194.512712,1863680
200,-1033.790641,1600,0.080795154,0.20820312,-0.8640545,0.022092069,2505.7888,0.810663402,920,1884160,1207.162961,1884160
200,-970.556485,1612,0.053173244,0.23330078,-0.8936075,0.015747722,2383.0881,0.75428766,930,1904640,1219.788993,1904640
200,-1269.128335,1596,0.05325499,0.20146485,-0.90424424,0.013985502,2762.0386,0.762811258,940,1925120,1232.581389,1925120
200,-957.3934931,1613,0.054706536,0.2409668,-0.8646928,0.0183711,1826.9584,0.8542054,950,1945600,1245.245574,1945600
200,-1061.425617,1595,0.0664843,0.21176758,-0.89730567,0.018395413,2737.768,0.810823172,960,1966080,1258.052014,1966080
200,-1064.189819,1202,0.045798037,0.24711914,-0.8971097,0.024948126,3335.8438,0.743003696,970,1986560,1271.394143,1986560
200,-906.9201681,1590,0.041508082,0.19150391,-0.83786136,0.013831633,2180.2869,0.857205927,980,2007040,1284.281005,2007040
200,-992.4492904,1602,0.034506403,0.22558594,-0.81570804,0.019579025,2858.3218,0.790290669,990,2027520,1297.076584,2027520
200,-943.9485458,1600,0.03683561,0.23852539,-0.7901786,0.01281184,1668.1404,0.874894008,1000,2048000,1309.698268,2048000
200,-773.9023407,1613,0.04378007,0.18681641,-0.77466166,0.016006062,2535.4692,0.830655694,1010,2068480,1322.481746,2068480
200,-756.3204609,1606,0.0268123,0.18046875,-0.7489494,0.010828724,2273.9482,0.849378183,1020,2088960,1335.150638,2088960
200,-713.7221049,1603,0.040672205,0.20219727,-0.7411485,0.018615158,1321.7539,0.86856018,1030,2109440,1347.951361,2109440
200,-771.0731454,1594,0.039825328,0.23017578,-0.70174944,0.018515304,2678.1372,0.836186796,1040,2129920,1360.641977,2129920
200,-760.9476054,1575,0.034410197,0.19960937,-0.6920836,0.009672959,1163.3495,0.846535102,1050,2150400,1373.356512,2150400
200,-786.659291,1581,0.03373504,0.1671875,-0.7028893,0.009015972,1225.4456,0.851575658,1060,2170880,1386.121246,2170880
200,-846.8093661,1606,0.024619035,0.17260742,-0.674096,0.011747799,2659.4126,0.826516882,1070,2191360,1398.822158,2191360
200,-799.7472799,1605,0.029278412,0.17299804,-0.630144,0.010935686,971.84424,0.89003738,1080,2211840,1411.61981,2211840
200,-786.0665883,1605,0.03388388,0.19501953,-0.643564,0.011794416,1574.0764,0.84410885,1090,2232320,1424.347638,2232320
200,-634.2961063,1595,0.029261854,0.20307617,-0.6333366,0.010831829,1464.4764,0.838210896,1100,2252800,1437.12438,2252800
200,-679.3386352,1593,0.022839403,0.17148438,-0.63740927,0.009467942,1114.3247,0.872567683,1110,2273280,1449.832975,2273280
200,-734.165488,1562,0.02537686,0.18457031,-0.60301775,0.013704206,1592.2288,0.813509792,1120,2293760,1462.552637,2293760
200,-775.5800755,1614,0.040491827,0.18925782,-0.6298018,0.014714395,1090.4666,0.899125673,1130,2314240,1475.263477,2314240
200,-656.4361973,1614,0.030162612,0.2027832,-0.6104325,0.01353029,1698.2253,0.893790983,1140,2334720,1487.951552,2334720
200,-462.4689738,1603,0.048351653,0.1854004,-0.6123335,0.010457438,1019.6372,0.899330713,1150,2355200,1500.752507,2355200
200,-576.0146536,1596,0.03743898,0.24160156,-0.57267296,0.006474478,565.4912,0.910642207,1160,2375680,1513.439819,2375680
200,-522.2628341,1603,0.021854097,0.16035156,-0.5837855,0.009673206,1653.0535,0.904967755,1170,2396160,1526.197982,2396160
200,-371.5341699,1599,0.046798,0.25708008,-0.5234847,0.017190997,593.8522,0.920971975,1180,2416640,1538.90416,2416640
200,-488.553091,1606,0.02073635,0.18916015,-0.56366843,0.011118758,1192.6207,0.9240954,1190,2437120,1551.568337,2437120
200,-535.3580964,1604,0.03944969,0.28891602,-0.53511256,0.011600873,179.03067,0.898725249,1200,2457600,1564.318401,2457600
200,-510.8068406,1598,0.024842825,0.18725586,-0.48274165,0.009045159,613.5219,0.941989616,1210,2478080,1577.905059,2478080
200,-554.5386739,1602,0.0249397,0.1840332,-0.50392365,0.009100379,206.69522,0.950437512,1220,2498560,1590.710491,2498560
200,-425.9783235,1603,0.032566797,0.2177246,-0.44011194,0.012496968,542.08466,0.927014396,1230,2519040,1603.385979,2519040
200,-439.3895878,1589,0.01447436,0.122607425,-0.3689602,0.003382097,470.6656,0.932966158,1240,2539520,1616.196293,2539520
200,-429.3178663,1613,0.03132711,0.24648437,-0.35039687,0.010195158,145.91753,0.944204405,1250,2560000,1628.934831,2560000
200,-449.3978132,1602,0.021316607,0.17651367,-0.42408648,0.004713215,760.06506,0.918528482,1260,2580480,1641.602641,2580480
200,-329.8713993,1409,0.017094081,0.16879883,-0.42754436,-9.90E-05,107.047226,0.936990663,1270,2600960,1654.7677,2600960
200,-408.0960989,1621,0.025159422,0.15996094,-0.47672296,0.006187192,721.8774,0.901236258,1280,2621440,1667.485531,2621440
200,-480.2093504,1607,0.054965544,0.22114258,-0.4650372,0.008420858,721.61926,0.935459584,1290,2641920,1682.132919,2641920
200,-447.4083185,1610,0.021038277,0.1650879,-0.48791385,0.006984492,700.74536,0.902767181,1300,2662400,1704.628439,2662400
200,-498.8540638,1639,0.027718315,0.18564454,-0.55566925,0.005211182,1183.2533,0.905745529,1310,2682880,1717.199009,2682880
200,-459.120432,1323,0.018349262,0.13798828,-0.56696635,0.004904513,1010.778,0.921369061,1320,2703360,1731.65905,2703360
