# {"t_start": 1585597310.9387672, "env_id": "Pendulum-v0"} 
r,l,t
-15.020114,200,2242.285235
-1737.342938,200,2242.695604
-156.542365,200,2242.788608
-695.977945,200,2242.881632
-144.373213,200,2242.974912
-275.383167,200,2243.067856
-266.510701,200,2243.16105
-291.334775,200,2243.253722
-275.131435,200,2243.345914
-271.110638,200,2243.439989
-269.309125,200,2243.53366
-155.227294,200,2243.923401
-146.876823,200,2244.015985
-409.051488,200,2244.109427
-517.432756,200,2244.201593
-534.731316,200,2244.294746
-522.134865,200,2244.386999
-1326.667752,200,2244.479753
-667.569559,200,2244.572716
-399.646041,200,2244.664488
-625.142587,200,2244.757611
-1746.580533,200,2245.169662
-410.365523,200,2245.262923
-421.27219,200,2245.354793
-1776.240765,200,2245.448416
-1748.208037,200,2245.539594
-508.64983,200,2245.632461
-154.401591,200,2245.731914
-403.468581,200,2245.824996
-402.325723,200,2245.917712
-30.271844,200,2246.010227
-160.840132,200,2246.421411
-261.48967,200,2246.514497
-274.672493,200,2246.607931
-395.32943,200,2246.701614
-535.020252,200,2246.79463
-267.20397,200,2246.886752
-147.617454,200,2246.979722
-397.60576,200,2247.073301
-416.938831,200,2247.165922
-973.446845,200,2247.258265
-650.642345,200,2247.351416
-143.354096,200,2247.740591
-752.168894,200,2247.833163
-397.561775,200,2247.927764
-282.616024,200,2248.020306
-141.111154,200,2248.113417
-17.190114,200,2248.206053
-402.762257,200,2248.29916
-142.183545,200,2248.391525
-646.11054,200,2248.484213
-473.546649,200,2248.577058
-277.205382,200,2248.966157
-277.437683,200,2249.05929
-157.99848,200,2249.151796
-277.95224,200,2249.244575
-146.40331,200,2249.337485
-147.499446,200,2249.429947
-533.310942,200,2249.522812
-276.671885,200,2249.615354
-146.945194,200,2249.707545
-527.081146,200,2249.800225
-156.136385,200,2250.190471
-19.341867,200,2250.283406
-407.476004,200,2250.377023
-273.939209,200,2250.470366
-1762.663233,200,2250.563284
-648.648082,200,2250.656193
-159.579405,200,2250.748935
-396.927033,200,2250.841279
-522.567986,200,2250.93471
-283.014717,200,2251.027043
-279.146272,200,2251.423293
-717.610215,200,2251.515942
-535.631403,200,2251.609495
-405.030636,200,2251.702358
-408.970473,200,2251.795012
-399.826732,200,2251.888071
-502.150317,200,2251.981398
-400.606742,200,2252.073772
-144.605856,200,2252.166948
-524.424367,200,2252.259414
-399.533401,200,2252.353327
-161.319837,200,2252.74456
-626.144762,200,2252.837384
-277.222295,200,2252.93033
-789.007532,200,2253.023123
-159.871442,200,2253.115582
-397.14986,200,2253.208649
-1773.892091,200,2253.301628
-1785.48921,200,2253.394092
-275.414457,200,2253.487456
-421.048463,200,2253.580009
-405.183144,200,2253.972075
-257.570334,200,2254.064219
-53.380063,200,2254.157591
-154.290526,200,2254.250073
-1742.484647,200,2254.343739
-16.559505,200,2254.437495
-407.877441,200,2254.529812
-399.698905,200,2254.622567
-1763.94376,200,2254.716201
-273.017096,200,2254.809373
-144.167277,200,2255.221003
-1796.302947,200,2255.313642
-142.33757,200,2255.406598
-395.757025,200,2255.500299
-390.720775,200,2255.592357
-1678.983989,200,2255.687203
-258.447019,200,2255.780365
-403.956396,200,2255.873067
-271.454733,200,2255.966215
-272.725948,200,2256.058621
-17.066778,200,2256.466454
-1715.636952,200,2256.558466
-141.836662,200,2256.650813
-143.215691,200,2256.743596
-140.912264,200,2256.836434
-1759.576134,200,2256.92941
-17.404692,200,2257.021635
-148.315958,200,2257.114383
-145.998622,200,2257.207019
-15.771655,200,2257.299394
-14.292206,200,2257.392881
-17.576732,200,2257.790629
-413.02992,200,2257.883691
-1701.380337,200,2257.978567
-274.767876,200,2258.071456
-918.034195,200,2258.164899
-532.110926,200,2258.25753
-143.666685,200,2258.350773
-278.231508,200,2258.443908
-270.71466,200,2258.53687
-18.017916,200,2258.628721
-143.832068,200,2259.040066
-155.736705,200,2259.137205
-15.366115,200,2259.281216
-1789.333981,200,2259.374181
-142.815757,200,2259.467396
-143.040194,200,2259.560467
-138.10826,200,2259.652974
-159.710041,200,2259.746291
-139.10235,200,2259.838963
-275.04887,200,2259.931475
-270.794266,200,2260.331115
-14.745768,200,2260.423587
-522.441069,200,2260.516887
-522.955718,200,2260.609472
-17.80868,200,2260.702021
-649.57462,200,2260.794358
-529.6138,200,2260.88712
-134.951732,200,2260.979596
-1740.107372,200,2261.08576
-145.341298,200,2261.211968
