Time	Iteration	Evaluations	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
717.8024525642395	37	10	-1216.8701331279715	180.1142234929729	-1004.649052800797	-1550.333241162139	1480000
730.4752621650696	38	10	-1420.158169213136	255.1820309529652	-997.9135035215174	-1696.5682112529446	1520000
746.2651736736298	39	10	-1271.9895045680576	168.80487675866317	-981.8796158976352	-1550.5818647168787	1560000
760.9194293022156	40	10	-1349.0057157092647	165.52641639039905	-1050.4753550634305	-1580.835650351042	1600000
775.6662969589233	41	10	-1147.7857967641576	227.78011645043125	-884.4651311221577	-1714.6935770800217	1640000
789.656907081604	42	10	-1267.7125120221456	229.99355675999578	-1022.6112856260697	-1739.00397877333	1680000
802.669819355011	43	10	-1246.9493332803654	211.57980816781546	-1013.9454543270389	-1693.3722225496008	1720000
816.3004722595215	44	10	-1323.7542463879272	198.76970698567686	-1064.784535134432	-1679.0839880259296	1760000
830.3918533325195	45	10	-1268.2817828581665	265.03461049107165	-911.0411825598795	-1789.8154899779918	1800000
843.1762936115265	46	10	-1279.0445318131938	311.0208135668781	-950.5716503690917	-1800.0878115351488	1840000
856.0356974601746	47	10	-1552.7605864703237	178.8203164996509	-1306.220337257807	-1800.8087541904122	1880000
868.6297299861908	48	10	-1528.277295501967	192.4413907885152	-1332.2217694510239	-1816.4620228642552	1920000
881.168203830719	49	10	-1558.0073597979426	131.03091787517965	-1325.4190642013534	-1782.6892866958501	1960000
893.1408634185791	50	10	-1579.5928490237989	149.8473518189272	-1310.6362025334777	-1779.8339139991383	2000000
905.4938230514526	51	10	-1638.6115675190026	127.70625468431254	-1460.3722689070353	-1825.724420082795	2040000
919.399158000946	52	10	-1623.3361846461478	75.63677931781454	-1441.1197420514088	-1729.5942324491837	2080000
932.2115476131439	53	10	-1577.1161287330528	141.9086984220667	-1333.4040358367774	-1776.2030121286261	2120000
943.5330798625946	54	10	-1591.8432949311677	81.46960798139855	-1461.222692431268	-1751.1107354413925	2160000
958.6667404174805	55	10	-1643.6724309642443	177.1422486191819	-1408.1516097560398	-1862.403090537371	2200000
970.2103936672211	56	10	-1627.356690157052	77.15686758918446	-1512.6634231147323	-1807.7152602079018	2240000
982.6309931278229	57	10	-1655.1133725933178	130.85530592021107	-1475.957442408478	-1871.3739644037778	2280000
995.9018955230713	58	10	-1624.1701311366885	69.79936343776174	-1501.7482661368672	-1770.7560682362466	2320000
1007.6086699962616	59	10	-1653.948067900193	112.27676422585083	-1533.2407378982066	-1853.4654037940231	2360000
1018.9679827690125	60	10	-1704.7757614509337	95.06715754079885	-1567.2415500980023	-1844.540486676855	2400000
1031.1433656215668	61	10	-1605.459581464709	141.00496237871036	-1352.4071314069902	-1840.6781359551492	2440000
1042.3822412490845	62	10	-1657.8282076454132	94.114601011632	-1535.8986493183068	-1810.2730554481657	2480000
1054.4896712303162	63	10	-1689.9400729351194	102.79468851580276	-1525.1823128615085	-1856.90302134269	2520000
1066.3133101463318	64	10	-1703.74667900168	127.25132047925607	-1421.6989641858934	-1877.1555581536356	2560000
1078.1441705226898	65	10	-1723.0250912708102	108.76801765275512	-1573.9751705749504	-1895.3620386862422	2600000
1089.5977156162262	66	10	-1668.9957395136603	113.1772262649029	-1550.6608475861833	-1883.442490838533	2640000
1100.7528822422028	67	10	-1658.3050147894064	114.00882942933463	-1489.5873495360825	-1862.62615396458	2680000
1112.5112690925598	68	10	-1708.5317993396766	131.09521633084563	-1461.0786414017266	-1924.7236375987457	2720000
1124.1754987239838	69	10	-1690.3672773863243	154.8562948646223	-1379.4302651374812	-1892.3837153058244	2760000
1136.027958869934	70	10	-1684.7014874196473	80.47163051770728	-1574.6086217336244	-1805.479634225538	2800000
1148.5074479579926	71	10	-1745.3553535938358	117.32569042370748	-1543.784136656602	-1898.6692103957319	2840000
1159.68692278862	72	10	-1725.045864129413	104.160599753724	-1603.586198031629	-1893.9401964938609	2880000
1171.0467507839203	73	10	-1714.0225383523116	130.08256605091603	-1450.6081761272135	-1896.8636721918965	2920000
1182.8704135417938	74	10	-1767.1765071794248	116.85118264731216	-1593.610453244923	-1940.1490202423292	2960000
1195.1258380413055	75	10	-1729.961318312168	79.3512534918446	-1605.4080759399071	-1867.1936801315499	3000000
1206.5327076911926	76	10	-1746.4370298390836	128.77924692269386	-1500.6684472138277	-1926.7135368718182	3040000
1218.0877084732056	77	10	-1641.3232779763325	80.32885992624216	-1514.2923426443322	-1832.5539437574146	3080000
1229.4857242107391	78	10	-1775.7022029934026	108.91842493279252	-1626.8296330798223	-1923.6356397069692	3120000
1241.4412212371826	79	10	-1696.3237143487174	108.00076922925025	-1439.7282172241644	-1829.6485227700962	3160000
1253.146232843399	80	10	-1675.9593415317904	61.75546021150295	-1548.7940677749932	-1763.8813558145175	3200000
1264.4138839244843	81	10	-1729.8948839702305	138.89746243362728	-1394.4775587156312	-1893.0488761919116	3240000
1275.1466553211212	82	10	-1614.9356337992872	131.5263104008442	-1402.9133824046498	-1856.7194797678146	3280000
1285.6468622684479	83	10	-1707.6331143998655	113.7840263855414	-1512.3127092999728	-1862.4842658501127	3320000
