eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
999,-0.01578072,2196,0.000125466,0,-3.0159361,-0.000381279,5.34E-08,-0.737553835,1170,2396160,1099.181558,2396160
999,-0.01507359,2190,0.001861917,0.011352539,-3.0413716,-0.000148385,1.56E-06,-0.641693592,1180,2416640,1108.512121,2416640
999,-0.01448848,2195,0.002667771,0.032592773,-3.064797,-0.000566904,1.23E-06,-0.4308182,1190,2437120,1117.974226,2437120
999,-0.01389381,2190,0.001575632,0.004394531,-3.0842185,-0.000155092,1.45E-07,-1.171829939,1200,2457600,1127.310609,2457600
999,-0.01330575,2176,0.000328476,0,-3.1047587,-4.69E-05,3.76E-07,-1.093592882,1210,2478080,1136.64077,2478080
999,-0.01273869,2183,0.002036682,0.014404297,-3.1275668,-0.002084745,1.34E-07,-1.089590788,1220,2498560,1146.071109,2498560
999,-0.01216592,2178,0.003617254,0.028930664,-3.1422756,-0.001872141,2.01E-07,-1.816751003,1230,2519040,1155.401208,2519040
999,-0.01160628,2180,0.001821197,0.009887695,-3.1616428,-0.000760247,1.98E-06,-0.464763284,1240,2539520,1164.738203,2539520
999,-0.0111359,2201,0.000310898,0.00012207,-3.184317,-5.71E-05,1.65E-07,-1.321404934,1250,2560000,1174.149495,2560000
999,-0.01079751,2195,0.003790123,0.033935547,-3.2005997,0.000274824,1.59E-07,-1.464025021,1260,2580480,1183.48985,2580480
999,-0.01043338,2185,0.003602584,0.034179688,-3.2175128,-0.001349524,1.06E-06,-0.127171516,1270,2600960,1192.824723,2600960
999,-0.0100297,2176,0.000719839,0.002319336,-3.2370498,-0.000192618,3.43E-07,-1.69277215,1280,2621440,1202.329736,2621440
999,-0.00972133,2185,0.00232995,0.013305664,-3.2417297,-0.00039865,4.38E-07,-1.212955236,1290,2641920,1211.705637,2641920
999,-0.00938621,2192,0.001939353,0.018920898,-3.2603467,-0.000823214,2.44E-07,-0.357649565,1300,2662400,1221.039881,2662400
999,-0.00901199,2191,0.005729075,0.075805664,-3.283308,0.000959259,2.47E-06,-1.849513054,1310,2682880,1230.396826,2682880
999,-0.0087173,2194,0.00116452,0.004516602,-3.3009498,-0.000101636,3.97E-07,-1.882299423,1320,2703360,1239.820509,2703360
999,-0.00843868,2207,0.001068575,0.002685547,-3.3153822,-0.000397957,9.71E-08,-1.106668949,1330,2723840,1249.14556,2723840
999,-0.00816937,2179,0.005961076,0.07678223,-3.3280318,0.002490505,6.55E-07,-1.713234425,1340,2744320,1258.472776,2744320
999,-0.00794025,2191,0.00098934,0.001831055,-3.3488944,-0.000326818,1.69E-07,-0.232601285,1350,2764800,1267.909433,2764800
999,-0.00768518,2134,0.002349276,0.01953125,-3.3589113,-0.000264625,1.42E-07,-1.724365473,1360,2785280,1277.25723,2785280
999,-0.00749447,2193,0.00152879,0.011352539,-3.3715415,-0.000968797,8.99E-08,-1.73406291,1370,2805760,1286.586902,2805760
999,-0.00730747,2203,0.009120622,0.13879395,-3.3928266,-0.0043489,7.29E-08,-0.958644867,1380,2826240,1296.020265,2826240
999,-0.00703844,2195,0.002535063,0.021484375,-3.4087071,-0.000958717,1.93E-07,-1.772048712,1390,2846720,1305.366668,2846720
999,-0.00682045,2193,0.000234361,0,-3.4221375,-0.000257771,6.58E-08,-1.70617795,1400,2867200,1314.698618,2867200
999,-0.006734,1709,0.001576393,0.009887695,-3.4310794,-0.000519384,9.93E-08,-1.327795267,1410,2887680,1324.743144,2887680
999,-0.00667121,2184,0.005746998,0.07800293,-3.4494314,0.003586053,7.32E-07,-2.037647009,1420,2908160,1334.151869,2908160
999,-0.00651712,2175,0.002274016,0.017456055,-3.4661436,-0.000722281,4.21E-08,-1.750511646,1430,2928640,1343.4894,2928640
999,-0.00637164,2091,0.000743751,0.001708984,-3.4808886,-4.37E-05,5.54E-08,-1.754415989,1440,2949120,1352.90952,2949120
999,-0.00619278,2201,0.006225091,0.080078125,-3.5026348,-0.001549022,6.26E-07,-0.48507762,1450,2969600,1362.229311,2969600
999,-0.00586251,2205,0.00096569,0.000488281,-3.5139437,0.000180062,1.67E-07,-1.591098547,1460,2990080,1371.541336,2990080
