Time	Iteration	Evaluations	AverageReward	StdRewards	MaxRewardRollout	MinRewardRollout	timesteps
424.0132257938385	29	10	-1372.536411218042	279.75867560335604	-1039.194230920438	-1854.6914430438642	1160000
436.6695613861084	30	10	-1216.5084383423296	370.4793596498941	-657.3996564528447	-1755.8110029950585	1200000
450.5852291584015	31	10	-1196.1926604003988	366.61908687723974	-609.5098959298315	-1559.9697341290946	1240000
462.76600670814514	32	10	-1324.180374605044	253.28363301934357	-1049.180699447512	-1862.754515893087	1280000
474.3314230442047	33	10	-1270.001434639437	304.3078684564548	-615.3435334353392	-1727.7641138757824	1320000
485.87244057655334	34	10	-1412.5225455133714	298.301723137726	-879.2500313407274	-1829.5247754689274	1360000
496.3053402900696	35	10	-1227.8133193940012	408.64155623344146	-748.6272098171511	-1885.1343150508692	1400000
507.62000489234924	36	10	-1364.5430201472857	165.18356891553404	-1158.828389565961	-1665.2557773454787	1440000
518.0167722702026	37	10	-1317.9069364394586	198.799742319683	-980.9247487155576	-1623.726780831073	1480000
529.3241329193115	38	10	-1467.8593835359504	364.76011949405705	-748.1936064024292	-1937.875801593922	1520000
543.2155866622925	39	10	-1154.970951336375	398.9784749890336	-751.9026791684711	-1880.7156505804198	1560000
556.2736508846283	40	10	-1115.8992670215123	468.2821116798581	-623.6264495464425	-1888.5367845983149	1600000
568.0874402523041	41	10	-1238.4631793249926	277.3672554923543	-748.6075103984814	-1895.442786589404	1640000
579.0141112804413	42	10	-1231.473226600935	397.4111669327697	-632.9073516694456	-1930.6234576253694	1680000
589.3935096263885	43	10	-1149.4089371546427	417.0251823460763	-635.8883970853964	-1857.8312878585143	1720000
599.9204647541046	44	10	-1274.6554304723297	399.4337462283599	-632.5431736739572	-1794.9897814619862	1760000
611.0941104888916	45	10	-1191.8730482929404	361.46191155493403	-632.536847885386	-1859.4740627554909	1800000
620.9747767448425	46	10	-1202.6554838774682	420.47047413429834	-627.722675420482	-1882.1611877007215	1840000
631.1892042160034	47	10	-1330.9400468927456	252.0001545836458	-969.8023594983414	-1679.255060094622	1880000
641.4084937572479	48	10	-1204.99010929522	401.22944928581865	-722.9763788696863	-1860.216285400196	1920000
651.6619169712067	49	10	-1277.5065951652753	263.50489935336105	-773.2200950905896	-1768.7682248992803	1960000
664.0378670692444	50	10	-1310.8586399674282	311.8015423242727	-623.3943699812044	-1601.3484116128666	2000000
677.911523103714	51	10	-1328.5511967519528	300.42313678409266	-899.2973645781047	-1853.9688207123959	2040000
689.3922755718231	52	10	-1202.6437188993573	157.57873157630706	-858.9795804609478	-1402.336253415274	2080000
700.2946176528931	53	10	-1055.2659523843613	318.147904741562	-631.3587155764085	-1587.0280627917084	2120000
710.9154226779938	54	10	-972.4241494452137	250.97796561436274	-501.53875220065635	-1393.1980194609362	2160000
721.7955546379089	55	10	-1172.6451015546427	484.29661184862044	-541.4149996610153	-1784.0075023282627	2200000
732.5353798866272	56	10	-1109.618024504687	214.14482648086883	-717.3140162670676	-1544.2485228186172	2240000
743.2116298675537	57	10	-1158.6809897622584	373.21850445591826	-632.0818056441268	-1762.2524454545526	2280000
753.7826089859009	58	10	-1020.5627689996687	231.565240348854	-503.51184316035364	-1430.1458788406414	2320000
764.1434984207153	59	10	-1106.9279361443341	345.06168870329776	-633.7779171153013	-1696.333579498444	2360000
774.8268439769745	60	10	-1268.2740238704575	312.8853731625867	-751.7121416768147	-1752.991069668324	2400000
785.922034740448	61	10	-994.4602085760273	348.8116714146383	-505.6999000692312	-1622.6269898140883	2440000
796.0972528457642	62	10	-1084.760888285132	309.91591023803045	-556.1670197606255	-1513.9683831996463	2480000
806.7128200531006	63	10	-1218.1973021670472	347.0937203986674	-625.5147181744711	-1841.172155347991	2520000
817.5125067234039	64	10	-1316.11266715728	326.0702324604674	-859.5629856870162	-1945.5368982707519	2560000
828.5104751586914	65	10	-1226.2691518417316	344.4610440135129	-615.2425751281554	-1805.5113854757271	2600000
